#TICID      RA          DEC        TWOMASS            GAIA                  Hmag     Tmag    
446126434   145.1981    55.7812    09404752+5546523   1022113916216283520   13.67    15.3508
450325438   159.5417    38.6628    10381002+3839461   755138813520896000    13.45    15.1973
450325486   159.5662    38.3178    10381590+3819042   755077382603666944    12.813   13.8405
450332785   169.0383    39.4784    11160919+3928420   765105753282614528    10.309   11.2035
459244916   215.9044    57.7919    14233703+5747308   1611423046005894656   12.857   14.3066
459767838   143.7032    56.3555    09344876+5621198   1024840292736331136   13.362   14.4577
459791449   175.0023    50.4147    11400056+5024528   790893527204341632     9.305   10.1051
461595544     7.7781    85.1471    00310678+8508494   573573954463485440    11.148   12.1889
461650461    22.6711    85.8908    01304108+8553271   573902394904047360     9.549   11.4816
462589093   239.7427    27.0338    15585824+2702017   1316486198681936768    8.691    9.39419
